Index,Date,Close,ADX,+DI,-DI,Signal
PSUBANK,2026-04-09,8605.7,47.32,30.27,32.44,DOWNTREND
PVTBANK,2026-04-09,26259.75,45.19,30.61,32.12,DOWNTREND
FINNIFTY,2026-04-09,25685.85,43.66,30.47,34.31,DOWNTREND
NIFTYFMCG,2026-04-17,49657.75,38.1,39.01,17.23,UPTREND
NIFTYIT,2026-04-17,31809.85,29.86,37.13,14.75,UPTREND
NIFTYNEXT50,2026-04-17,70273.8,29.78,45.26,23.61,UPTREND
NIFTYAUTO,2026-04-17,26435.0,27.66,39.15,19.35,UPTREND
BANKNIFTY,2026-04-17,56565.7,26.72,33.69,25.37,UPTREND
NIFTYMETAL,2026-04-17,12880.0,26.1,46.98,13.01,UPTREND
NIFTY,2026-04-17,24353.55,25.94,36.57,24.86,UPTREND
VIX,2026-04-17,17.21,25.64,13.46,33.81,DOWNTREND
