Index,Date,RSI,Momentum,Zone
VIX,2026-04-24,33.94,RISING,WEAK
NIFTYIT,2026-04-24,36.12,FALLING,WEAK
FINNIFTY,2026-04-09,49.75,FALLING,NEUTRAL
PSUBANK,2026-04-09,50.14,FALLING,NEUTRAL
PVTBANK,2026-04-09,51.28,FALLING,NEUTRAL
NIFTYAUTO,2026-04-24,65.56,FALLING,STRONG
NIFTY,2026-04-24,67.06,FALLING,STRONG
NIFTYPHARMA,2026-04-24,71.07,FALLING,OVERBOUGHT
BANKNIFTY,2026-04-24,72.9,FALLING,OVERBOUGHT
NIFTYREALTY,2026-04-24,80.36,FALLING,OVERBOUGHT
NIFTYFMCG,2026-04-24,82.49,FALLING,OVERBOUGHT
NIFTYNEXT50,2026-04-24,83.34,FALLING,OVERBOUGHT
NIFTYMETAL,2026-04-24,87.15,FALLING,OVERBOUGHT
