Index,Date,Close,VWAP,Distance_%,Zone
NIFTYREALTY,2026-04-23,788.65,728.51,8.26,OVEREXTENDED
NIFTYNEXT50,2026-04-23,70410.35,65800.3,7.01,OVEREXTENDED
NIFTYFMCG,2026-04-23,51140.5,47824.8,6.93,OVEREXTENDED
NIFTYMETAL,2026-04-23,12786.25,12000.57,6.55,OVEREXTENDED
BANKNIFTY,2026-04-23,56305.0,54312.01,3.67,OVEREXTENDED
NIFTYPHARMA,2026-04-23,22986.35,22248.73,3.32,OVEREXTENDED
PVTBANK,2026-04-09,26259.75,25538.6,2.82,ABOVE_VWAP
NIFTY,2026-04-23,24173.05,23551.32,2.64,ABOVE_VWAP
FINNIFTY,2026-04-09,25685.85,25027.72,2.63,ABOVE_VWAP
NIFTYAUTO,2026-04-23,25828.1,25387.89,1.73,ABOVE_VWAP
PSUBANK,2026-04-09,8605.7,8480.69,1.47,ABOVE_VWAP
NIFTYIT,2026-04-23,30124.3,30635.16,-1.67,BELOW_VWAP
VIX,2026-04-23,18.59,21.93,-15.24,DEEP_DISCOUNT
